reward_call_index,case_id,reference_outcome,correct_generations,reward_std,outcome_variants,generated_allowed,generated_dismissed,valid_generations,p_allowed_sampled,y_allowed,call_bin
4,sc_1997_insc_826,allowed,2.0,0.15734270047372018,2,2,6,8,0.25,1,0
4,sc_1998_insc_444,dismissed,6.0,0.19830071069948438,2,2,6,8,0.25,0,0
4,sc_2011_insc_107,allowed,3.0,0.1498063692642614,2,3,5,8,0.375,1,0
4,sc_2012_insc_436,dismissed,3.0,0.19611529706318395,2,5,3,8,0.625,0,0
4,sc_2013_insc_510,dismissed,5.0,0.2129239468965709,2,3,5,8,0.375,0,0
4,sc_2018_insc_1018,allowed,3.0,0.1806788167479203,2,3,5,8,0.375,1,0
4,sc_2021_insc_762,allowed,2.0,0.15212971417550583,2,2,6,8,0.25,1,0
4,sc_2022_insc_1017,allowed,5.0,0.18098987491411936,2,5,3,8,0.625,1,0
4,sc_2023_insc_331,dismissed,5.0,0.2071255572337828,2,3,5,8,0.375,0,0
5,in_abs_train_7067,allowed,4.0,0.20173747261941605,2,4,4,8,0.5,1,0
5,sc_1962_insc_245,dismissed,6.0,0.17087925304736032,2,2,6,8,0.25,0,0
5,sc_1972_insc_19,dismissed,3.0,0.15478076493367118,2,5,3,8,0.625,0,0
5,sc_1984_insc_108,dismissed,4.0,0.20384162226408944,2,4,4,8,0.5,0,0
5,sc_1984_insc_221,dismissed,6.0,0.15861421867278402,2,2,6,8,0.25,0,0
5,sc_1987_insc_226,dismissed,7.0,0.11048543456039805,2,1,7,8,0.125,0,0
5,sc_1990_insc_47,allowed,4.0,0.16873822544203065,2,4,4,8,0.5,1,0
5,sc_2005_insc_4,dismissed,4.0,0.19547487678818762,2,4,4,8,0.5,0,0
5,sc_2008_insc_673,allowed,5.0,0.1805551180931819,2,5,3,8,0.625,1,0
5,sc_2021_insc_580,allowed,2.0,0.1609474491376877,2,2,6,8,0.25,1,0
5,sc_2023_insc_760,allowed,4.0,0.18757192668033087,2,4,4,8,0.5,1,0
5,sc_2024_insc_84,allowed,5.0,0.19333260339558428,3,5,2,7,0.7142857142857143,1,0
6,in_abs_train_1462,allowed,7.0,0.1507409435684651,2,7,1,8,0.875,1,0
6,in_abs_train_2221,dismissed,4.0,0.1626153680821955,2,4,4,8,0.5,0,0
6,in_abs_train_337,dismissed,4.0,0.2069349688892777,2,4,4,8,0.5,0,0
6,in_abs_train_4514,dismissed,6.0,0.15134652643717897,2,2,6,8,0.25,0,0
6,in_abs_train_6435,dismissed,5.0,0.20217325411037768,2,3,5,8,0.375,0,0
6,sc_2003_insc_216,dismissed,3.0,0.1935062262518038,2,5,3,8,0.625,0,0
6,sc_2009_insc_372,dismissed,4.0,0.1842119284905684,2,4,4,8,0.5,0,0
6,sc_2013_insc_365,allowed,3.0,0.18130039939677067,2,3,5,8,0.375,1,0
6,sc_2019_insc_1039,allowed,3.0,0.18985156634287317,2,3,5,8,0.375,1,0
6,sc_2019_insc_1300,allowed,4.0,0.22055674504062256,2,4,4,8,0.5,1,0
6,sc_2019_insc_647,allowed,5.0,0.18161039293341272,2,5,3,8,0.625,1,0
6,sc_2022_insc_765,allowed,4.0,0.18931662514242276,2,4,4,8,0.5,1,0
7,in_abs_train_3457,allowed,5.0,0.1920042753197736,2,5,3,8,0.625,1,0
7,in_abs_train_3657,dismissed,1.0,0.15794395308141415,2,7,1,8,0.875,0,0
7,in_abs_train_6545,dismissed,8.0,0.1181287007696203,1,0,8,8,0.0,0,0
7,sc_1970_insc_123,allowed,4.0,0.19633028468726554,2,4,4,8,0.5,1,0
7,sc_1971_insc_312,dismissed,2.0,0.1616743171361134,2,6,2,8,0.75,0,0
7,sc_1976_insc_77,dismissed,4.0,0.20493070758845186,2,4,4,8,0.5,0,0
7,sc_1986_insc_201,dismissed,7.0,0.13467419894917887,2,1,7,8,0.125,0,0
7,sc_1989_insc_151,dismissed,0.0,0.0015722907537366359,1,8,0,8,1.0,0,0
7,sc_1996_insc_1109,allowed,1.0,0.12876566738930947,2,1,7,8,0.125,1,0
7,sc_2006_insc_728,allowed,4.0,0.2192365958858813,2,4,4,8,0.5,1,0
7,sc_2007_insc_862,allowed,6.0,0.16236866945759137,2,6,2,8,0.75,1,0
7,sc_2021_insc_586,allowed,7.0,0.15706591060066932,2,7,1,8,0.875,1,0
8,in_abs_train_3373,dismissed,6.0,0.1885951090573397,2,2,6,8,0.25,0,0
8,sc_1968_insc_174,allowed,5.0,0.17494889458673402,2,5,3,8,0.625,1,0
8,sc_1980_insc_159,dismissed,3.0,0.2188977464451389,3,4,3,7,0.5714285714285714,0,0
8,sc_1993_insc_263,dismissed,4.0,0.1578304604348331,2,4,4,8,0.5,0,0
8,sc_1996_insc_1260,dismissed,4.0,0.18708286933869703,2,4,4,8,0.5,0,0
8,sc_1996_insc_1444,allowed,7.0,0.1318419822893252,2,7,1,8,0.875,1,0
8,sc_1997_insc_292,allowed,4.0,0.18272793664351772,2,4,4,8,0.5,1,0
8,sc_2001_insc_414,dismissed,6.0,0.16271584565914723,2,2,6,8,0.25,0,0
8,sc_2007_insc_922,dismissed,6.0,0.16708695073865837,2,2,6,8,0.25,0,0
8,sc_2007_insc_929,allowed,5.0,0.15634044525147217,2,5,3,8,0.625,1,0
8,sc_2009_insc_142,allowed,3.0,0.2164516905526779,2,3,5,8,0.375,1,0
8,sc_2016_insc_244,allowed,5.0,0.17419774170342356,3,5,1,6,0.8333333333333334,1,0
9,in_abs_train_3905,dismissed,4.0,0.22054782700354153,2,4,4,8,0.5,0,0
9,in_abs_train_4044,dismissed,6.0,0.1719365019833942,2,2,6,8,0.25,0,0
9,in_abs_train_6501,allowed,5.0,0.23610384827920292,2,5,3,8,0.625,1,0
9,sc_1964_insc_5,dismissed,2.0,0.1825818813903513,2,6,2,8,0.75,0,0
9,sc_1988_insc_266,allowed,3.0,0.19001466603677294,2,3,5,8,0.375,1,0
9,sc_1996_insc_604,dismissed,5.0,0.19820314065927702,2,3,5,8,0.375,0,0
9,sc_1997_insc_191,dismissed,6.0,0.1805329782892865,2,2,6,8,0.25,0,0
9,sc_1999_insc_98,allowed,6.0,0.25910860627014454,2,6,2,8,0.75,1,0
9,sc_2006_insc_857,dismissed,2.0,0.16027651944210236,2,6,2,8,0.75,0,0
9,sc_2011_insc_131,allowed,3.0,0.17294745279584614,2,3,5,8,0.375,1,0
9,sc_2015_insc_764,allowed,4.0,0.21499956786428656,2,4,4,8,0.5,1,0
9,sc_2016_insc_305,allowed,6.0,0.16219396663408905,2,6,2,8,0.75,1,0
10,in_abs_train_2824,dismissed,2.0,0.19747045186807047,3,5,2,7,0.7142857142857143,0,0
10,in_abs_train_6217,allowed,5.0,0.181142209327368,2,5,3,8,0.625,1,0
10,in_abs_train_6877,allowed,4.0,0.1895542674605349,2,4,4,8,0.5,1,0
10,sc_1954_insc_39,dismissed,3.0,0.19754083457491745,2,5,3,8,0.625,0,0
10,sc_1992_insc_244,allowed,6.0,0.16167431713611338,2,6,2,8,0.75,1,0
10,sc_2000_insc_96,allowed,4.0,0.1893708440516983,2,4,4,8,0.5,1,0
10,sc_2004_insc_131,dismissed,4.0,0.20033760280345184,2,4,4,8,0.5,0,0
10,sc_2008_insc_710,dismissed,4.0,0.16846237061284633,2,4,4,8,0.5,0,0
10,sc_2011_insc_616,dismissed,4.0,0.22819964679680366,2,4,4,8,0.5,0,0
10,sc_2013_insc_788,allowed,6.0,0.1993123830082019,2,6,2,8,0.75,1,0
10,sc_2017_insc_1073,dismissed,3.0,0.16016068939840208,2,5,3,8,0.625,0,0
10,sc_2019_insc_805,allowed,6.0,0.18989054558866986,2,6,2,8,0.75,1,0
11,in_abs_train_5070,dismissed,2.0,0.13831758883382275,2,6,2,8,0.75,0,0
11,sc_1959_1_1384_1403_en,dismissed,4.0,0.21866760093724744,2,4,4,8,0.5,0,0
11,sc_1987_insc_70,dismissed,3.0,0.175306968584044,2,5,3,8,0.625,0,0
11,sc_1990_insc_360,allowed,1.0,0.12283446180277564,3,1,6,7,0.14285714285714285,1,0
11,sc_1993_insc_45,dismissed,5.0,0.1754333116577759,2,3,5,8,0.375,0,0
11,sc_2007_insc_1117,dismissed,4.0,0.19394316613392443,2,4,4,8,0.5,0,0
11,sc_2011_insc_407,allowed,4.0,0.21855497515948205,2,4,4,8,0.5,1,0
11,sc_2012_insc_136,allowed,6.0,0.1618490223226131,2,6,2,8,0.75,1,0
11,sc_2012_insc_31,allowed,4.0,0.22729877967337578,2,4,4,8,0.5,1,0
11,sc_2013_insc_173,allowed,5.0,0.19124875116305612,2,5,3,8,0.625,1,0
11,sc_2015_insc_531,dismissed,3.0,0.1801877493061057,3,4,3,7,0.5714285714285714,0,0
11,sc_2021_insc_554,allowed,4.0,0.23641501391354133,2,4,4,8,0.5,1,0
12,sc_1965_insc_113,dismissed,4.0,0.23615974794703407,2,4,4,8,0.5,0,0
12,sc_1971_insc_287,dismissed,5.0,0.14906473996960226,2,3,5,8,0.375,0,0
12,sc_1971_insc_320,allowed,4.0,0.1560308574360284,2,4,4,8,0.5,1,0
12,sc_1978_insc_159,dismissed,4.0,0.19591866148492543,3,3,4,7,0.42857142857142855,0,0
12,sc_1990_insc_223,dismissed,5.0,0.2121968916188986,2,3,5,8,0.375,0,0
12,sc_1992_insc_325,allowed,3.0,0.20966037997838644,2,3,5,8,0.375,1,0
12,sc_1997_insc_61,allowed,3.0,0.1930358779322168,2,3,5,8,0.375,1,0
12,sc_2003_insc_94,allowed,3.0,0.192723003946078,2,3,5,8,0.375,1,0
12,sc_2010_insc_517,dismissed,4.0,0.16787393960413952,2,4,4,8,0.5,0,0
12,sc_2014_insc_11,allowed,6.0,0.1619445986641937,2,6,2,8,0.75,1,0
12,sc_2022_insc_181,allowed,2.0,0.17879749306627793,2,2,6,8,0.25,1,0
12,sc_2023_insc_879,dismissed,4.0,0.19588547837347245,2,4,4,8,0.5,0,0
13,in_abs_train_3124,dismissed,4.0,0.1996571139970796,2,4,4,8,0.5,0,0
13,in_abs_train_5301,allowed,5.0,0.16082253374387334,2,5,3,8,0.625,1,0
13,sc_1966_insc_85,allowed,5.0,0.2202836688230926,2,5,3,8,0.625,1,0
13,sc_1967_insc_136,dismissed,5.0,0.20310401483869694,2,3,5,8,0.375,0,0
13,sc_1970_insc_242,dismissed,3.0,0.19217679066549467,2,5,3,8,0.625,0,0
13,sc_1979_insc_20,dismissed,3.0,0.19440536497879804,2,5,3,8,0.625,0,0
13,sc_1987_insc_165,allowed,8.0,0.03959859981290821,1,8,0,8,1.0,1,0
13,sc_1988_insc_207,dismissed,4.0,0.19759729001665666,2,4,4,8,0.5,0,0
13,sc_1993_insc_371,allowed,6.0,0.21982209771452543,2,6,2,8,0.75,1,0
13,sc_2002_insc_43,allowed,4.0,0.2000014704187018,2,4,4,8,0.5,1,0
13,sc_2011_insc_426,dismissed,3.0,0.20716826100553037,2,5,3,8,0.625,0,0
13,sc_2013_insc_310,allowed,7.0,0.12293842372011166,2,7,1,8,0.875,1,0
14,sc_1970_insc_85,dismissed,3.0,0.18091091125882927,2,5,3,8,0.625,0,0
14,sc_1974_insc_143,dismissed,4.0,0.21279552717087022,2,4,4,8,0.5,0,0
14,sc_1976_insc_225,dismissed,3.0,0.18114220932736796,2,5,3,8,0.625,0,0
14,sc_1986_insc_67,allowed,4.0,0.1996344293757793,2,4,4,8,0.5,1,0
14,sc_1990_insc_225,allowed,5.0,0.1876438148857589,3,5,2,7,0.7142857142857143,1,0
14,sc_1992_insc_162,dismissed,3.0,0.21145228850144895,2,5,3,8,0.625,0,0
14,sc_1994_insc_422,dismissed,3.0,0.18083541254016436,2,5,3,8,0.625,0,0
14,sc_1997_insc_560,allowed,4.0,0.18678365242306402,2,4,4,8,0.5,1,0
14,sc_2008_insc_1265,allowed,0.0,0.026706285007927176,1,0,8,8,0.0,1,0
14,sc_2013_insc_21,dismissed,2.0,0.20098960973624536,2,6,2,8,0.75,0,0
14,sc_2016_insc_347,allowed,6.0,0.13171622862225765,2,6,2,8,0.75,1,0
14,sc_2018_insc_513,allowed,3.0,0.20009153876145933,2,3,5,8,0.375,1,0
15,in_abs_train_3048,allowed,3.0,0.15316750503358825,2,3,5,8,0.375,1,0
15,in_abs_train_424,dismissed,4.0,0.19923064697592197,2,4,4,8,0.5,0,0
15,sc_1966_insc_53,dismissed,4.0,0.18870630242695952,2,4,4,8,0.5,0,0
15,sc_1978_insc_25,allowed,1.0,0.14183172882436296,2,1,7,8,0.125,1,0
15,sc_1997_insc_271,allowed,3.0,0.16633311721065383,2,3,5,8,0.375,1,0
15,sc_1997_insc_770,dismissed,3.0,0.21136367184330665,2,5,3,8,0.625,0,0
15,sc_1998_insc_207,dismissed,3.0,0.1784037606013979,2,5,3,8,0.625,0,0
15,sc_1998_insc_91,dismissed,4.0,0.23055256445618694,2,4,4,8,0.5,0,0
15,sc_2000_insc_449,allowed,3.0,0.1549890763479404,2,3,5,8,0.375,1,0
15,sc_2004_insc_499,dismissed,4.0,0.22585977577002267,2,4,4,8,0.5,0,0
15,sc_2010_insc_633,allowed,6.0,0.16648476978819585,3,6,1,7,0.8571428571428571,1,0
15,sc_2014_insc_80,allowed,4.0,0.21722232320226165,2,4,4,8,0.5,1,0
16,in_abs_train_1369,dismissed,4.0,0.20335968350123995,2,4,4,8,0.5,0,0
16,in_abs_train_1749,dismissed,2.0,0.15317624640595473,2,6,2,8,0.75,0,0
16,in_abs_train_3265,allowed,4.0,0.20640419560727372,2,4,4,8,0.5,1,0
16,sc_1967_insc_210,dismissed,3.0,0.246920370817609,2,5,3,8,0.625,0,0
16,sc_1971_insc_337,dismissed,4.0,0.1698042415149484,2,4,4,8,0.5,0,0
16,sc_2001_insc_550,allowed,6.0,0.19347388344448213,2,6,2,8,0.75,1,0
16,sc_2001_insc_561,allowed,3.0,0.1791773270455332,2,3,5,8,0.375,1,0
16,sc_2008_insc_883,allowed,6.0,0.14433599289243837,2,6,2,8,0.75,1,0
16,sc_2010_insc_620,dismissed,1.0,0.12435476324957216,2,7,1,8,0.875,0,0
16,sc_2012_insc_390,allowed,2.0,0.16342103717656756,2,2,6,8,0.25,1,0
16,sc_2023_insc_1023,dismissed,5.0,0.22781888953414597,2,3,5,8,0.375,0,0
16,sc_2024_insc_165,allowed,4.0,0.16021614515910326,2,4,4,8,0.5,1,0
17,sc_1968_insc_137,allowed,2.0,0.17186409085505958,2,2,6,8,0.25,1,0
17,sc_1985_insc_250,dismissed,5.0,0.19632843026671334,2,3,5,8,0.375,0,0
17,sc_1989_insc_170,dismissed,5.0,0.18735332752032932,2,3,5,8,0.375,0,0
17,sc_1996_insc_215,allowed,3.0,0.1816885550242109,2,3,5,8,0.375,1,0
17,sc_2007_insc_1053,allowed,6.0,0.16219396663408905,2,6,2,8,0.75,1,0
17,sc_2007_insc_168,allowed,3.0,0.14797784699764666,2,3,5,8,0.375,1,0
17,sc_2007_insc_230,dismissed,4.0,0.21848342686002523,2,4,4,8,0.5,0,0
17,sc_2009_insc_427,dismissed,4.0,0.2070304655345995,2,4,4,8,0.5,0,0
17,sc_2015_insc_738,allowed,4.0,0.2030640622878828,2,4,4,8,0.5,1,0
17,sc_2019_insc_297,dismissed,7.0,0.1104265334604498,2,1,7,8,0.125,0,0
17,sc_2021_insc_585,allowed,3.0,0.16797353107813484,2,3,5,8,0.375,1,0
17,sc_2023_insc_697,dismissed,4.0,0.1875081902973079,3,3,4,7,0.42857142857142855,0,0
18,in_abs_train_94,dismissed,0.0,0.07175317602447141,1,8,0,8,1.0,0,0
18,sc_1966_insc_109,dismissed,2.0,0.15502039833690043,2,6,2,8,0.75,0,0
18,sc_1967_insc_299,allowed,4.0,0.18572030250121352,2,4,4,8,0.5,1,0
18,sc_1968_insc_220,dismissed,4.0,0.1877189433216434,2,4,4,8,0.5,0,0
18,sc_1980_insc_52,allowed,5.0,0.19138399337585194,2,5,3,8,0.625,1,0
18,sc_1982_insc_104,allowed,4.0,0.18011507978036073,2,4,4,8,0.5,1,0
18,sc_2005_insc_108,allowed,5.0,0.21710992894091616,3,5,2,7,0.7142857142857143,1,0
18,sc_2007_insc_840,dismissed,5.0,0.2018901426163627,2,3,5,8,0.375,0,0
18,sc_2009_insc_1031,allowed,5.0,0.19446818218908862,2,5,3,8,0.625,1,0
18,sc_2009_insc_1089,allowed,6.0,0.1609769698479524,2,6,2,8,0.75,1,0
18,sc_2013_insc_89,dismissed,5.0,0.24146428378055107,2,3,5,8,0.375,0,0
18,sc_2020_insc_249,dismissed,4.0,0.17439489453843374,2,4,4,8,0.5,0,0
19,in_abs_train_2039,dismissed,5.0,0.22387938198630847,2,3,5,8,0.375,0,0
19,in_abs_train_4981,dismissed,3.0,0.16715254622744294,2,5,3,8,0.625,0,0
19,in_abs_train_623,dismissed,2.0,0.15404695480831251,2,6,2,8,0.75,0,0
19,in_abs_train_6643,dismissed,4.0,0.18106282133068094,2,4,4,8,0.5,0,0
19,sc_1970_insc_62,dismissed,5.0,0.21604276861919575,2,3,5,8,0.375,0,0
19,sc_1972_insc_269,dismissed,6.0,0.1692837293622329,2,2,6,8,0.25,0,0
19,sc_1973_insc_61,allowed,5.0,0.18420307847883793,2,5,3,8,0.625,1,0
19,sc_2001_insc_119,allowed,3.0,0.16615923609920522,2,3,5,8,0.375,1,0
19,sc_2003_insc_633,allowed,4.0,0.16956213375178816,2,4,4,8,0.5,1,0
19,sc_2007_insc_511,allowed,4.0,0.1795709668706418,2,4,4,8,0.5,1,0
19,sc_2015_insc_136,allowed,4.0,0.20501571150593728,2,4,4,8,0.5,1,0
19,sc_2016_insc_124,allowed,5.0,0.17283438280155464,2,5,3,8,0.625,1,0
20,sc_1989_insc_322,allowed,2.0,0.1568518987176547,2,2,6,8,0.25,1,0
20,sc_1990_insc_281,dismissed,4.0,0.15372426331128566,2,4,4,8,0.5,0,0
20,sc_1995_insc_65,dismissed,4.0,0.1816392043462962,3,3,4,7,0.42857142857142855,0,0
20,sc_1998_insc_415,dismissed,3.0,0.17294695037571245,3,4,3,7,0.5714285714285714,0,0
20,sc_1998_insc_429,dismissed,3.0,0.21092270601938712,3,4,3,7,0.5714285714285714,0,0
20,sc_2002_insc_504,allowed,5.0,0.17115022556331863,2,5,3,8,0.625,1,0
20,sc_2007_insc_1213,dismissed,4.0,0.1408623638772047,2,4,4,8,0.5,0,0
20,sc_2008_insc_540,allowed,1.0,0.12352058460608326,2,1,7,8,0.125,1,0
20,sc_2010_insc_33,dismissed,4.0,0.1567898293351319,2,4,4,8,0.5,0,0
20,sc_2017_insc_606,allowed,3.0,0.1838330739843626,2,3,5,8,0.375,1,0
20,sc_2017_insc_683,allowed,2.0,0.1713223745655707,2,2,6,8,0.25,1,0
20,sc_2023_insc_369,allowed,2.0,0.1747348465346616,2,2,6,8,0.25,1,0
21,in_abs_train_224,allowed,5.0,0.18641791168123953,2,5,3,8,0.625,1,0
21,sc_1966_insc_217,allowed,3.0,0.23442706554709972,2,3,5,8,0.375,1,0
21,sc_1976_insc_15,dismissed,3.0,0.18083849530431448,2,5,3,8,0.625,0,0
21,sc_1993_insc_26,allowed,4.0,0.187085768623454,2,4,4,8,0.5,1,0
21,sc_1994_insc_26,dismissed,2.0,0.20145091734269732,2,6,2,8,0.75,0,0
21,sc_2000_insc_101,allowed,3.0,0.18180507240343616,2,3,5,8,0.375,1,0
21,sc_2008_insc_444,dismissed,3.0,0.2142810700554927,2,5,3,8,0.625,0,0
21,sc_2008_insc_49,dismissed,2.0,0.13728789556927903,2,6,2,8,0.75,0,0
21,sc_2009_insc_33,allowed,7.0,0.1413525702176754,2,7,1,8,0.875,1,0
21,sc_2010_insc_6,dismissed,5.0,0.1849579831112505,2,3,5,8,0.375,0,0
21,sc_2018_insc_218,dismissed,1.0,0.1177399609847838,2,7,1,8,0.875,0,0
21,sc_2020_insc_581,allowed,6.0,0.17175306818556133,2,6,2,8,0.75,1,0
22,in_abs_train_113,allowed,5.0,0.16043167214914714,2,5,3,8,0.625,1,0
22,sc_1972_insc_29,allowed,6.0,0.10474550365392436,2,6,2,8,0.75,1,0
22,sc_1974_insc_251,dismissed,7.0,0.1367483861541797,2,1,7,8,0.125,0,0
22,sc_1977_insc_35,dismissed,6.0,0.20830456115849502,2,2,6,8,0.25,0,0
22,sc_1983_insc_57,allowed,5.0,0.1809838162407662,2,5,3,8,0.625,1,0
22,sc_1990_insc_261,dismissed,5.0,0.2022447461571092,2,3,5,8,0.375,0,0
22,sc_2001_insc_37,allowed,6.0,0.19540520497638347,2,6,2,8,0.75,1,0
22,sc_2006_insc_486,dismissed,3.0,0.23114481421870728,2,5,3,8,0.625,0,0
22,sc_2009_insc_531,allowed,2.0,0.19280242394114072,2,2,6,8,0.25,1,0
22,sc_2015_insc_193,dismissed,3.0,0.21953976000988615,2,5,3,8,0.625,0,0
22,sc_2018_insc_239,allowed,5.0,0.20268898656024073,2,5,3,8,0.625,1,0
22,sc_2022_insc_586,dismissed,2.0,0.16888956497499324,3,5,2,7,0.7142857142857143,0,0
23,in_abs_train_673,dismissed,5.0,0.1852120732523518,2,3,5,8,0.375,0,0
23,sc_1969_insc_107,dismissed,3.0,0.18091091125882927,2,5,3,8,0.625,0,0
23,sc_1973_insc_253,allowed,6.0,0.19199777153833622,2,6,2,8,0.75,1,0
23,sc_1978_insc_196,dismissed,5.0,0.16959040730536618,2,3,5,8,0.375,0,0
23,sc_2001_insc_259,allowed,6.0,0.15475746579671026,2,6,2,8,0.75,1,0
23,sc_2004_insc_4,dismissed,4.0,0.23051158353951842,2,4,4,8,0.5,0,0
23,sc_2004_insc_507,dismissed,5.0,0.1795233153299075,2,3,5,8,0.375,0,0
23,sc_2005_insc_112,allowed,6.0,0.14641616018829925,2,6,2,8,0.75,1,0
23,sc_2007_insc_1085,dismissed,3.0,0.18197654872459332,2,5,3,8,0.625,0,0
23,sc_2010_insc_231,allowed,4.0,0.20691981873162504,2,4,4,8,0.5,1,0
23,sc_2012_insc_457,allowed,3.0,0.21143881577255963,2,3,5,8,0.375,1,0
23,sc_2022_insc_1260,allowed,1.0,0.12403280174847695,2,1,7,8,0.125,1,0
24,in_abs_train_428,dismissed,2.0,0.18108604653589408,2,6,2,8,0.75,0,0
24,in_abs_train_6567,allowed,3.0,0.20349974436425322,2,3,5,8,0.375,1,0
24,sc_1959_insc_64,allowed,4.0,0.1923926155723907,2,4,4,8,0.5,1,0
24,sc_1996_insc_164,dismissed,2.0,0.1823605601108106,2,6,2,8,0.75,0,0
24,sc_1999_insc_169,allowed,3.0,0.18083541254016433,2,3,5,8,0.375,1,0
24,sc_2000_insc_424,dismissed,5.0,0.1967291568074055,2,3,5,8,0.375,0,0
24,sc_2009_insc_1240,dismissed,1.0,0.1122492340720452,2,7,1,8,0.875,0,0
24,sc_2011_insc_682,dismissed,2.0,0.1972372463605739,3,1,2,3,0.3333333333333333,0,0
24,sc_2012_insc_283,allowed,4.0,0.20600632791945286,3,4,3,7,0.5714285714285714,1,0
24,sc_2014_insc_60,dismissed,4.0,0.18708286933869706,2,4,4,8,0.5,0,0
24,sc_2015_insc_21,allowed,3.0,0.19409982443635018,2,3,5,8,0.375,1,0
24,sc_2021_insc_675,allowed,3.0,0.18680673688828522,2,3,5,8,0.375,1,0
25,in_abs_train_420,allowed,5.0,0.22064276031307123,2,5,3,8,0.625,1,0
25,in_abs_train_5435,dismissed,4.0,0.16633751751774162,2,4,4,8,0.5,0,0
25,sc_1967_insc_66,dismissed,5.0,0.19103196637625694,2,3,5,8,0.375,0,0
25,sc_1976_insc_80,allowed,6.0,0.18470688626749485,2,6,2,8,0.75,1,0
25,sc_1994_insc_140,allowed,2.0,0.1579124665699776,2,2,6,8,0.25,1,0
25,sc_1994_insc_497,allowed,3.0,0.18191985823825987,2,3,5,8,0.375,1,0
25,sc_1995_insc_897,dismissed,5.0,0.19683681066996134,2,3,5,8,0.375,0,0
25,sc_2000_insc_507,dismissed,7.0,0.1451008594895398,2,1,7,8,0.125,0,0
